Time,Steps,TimePerStep
5672325, 2672385, 2.12257
5647537, 2672385, 2.11329
5763305, 2672385, 2.15661
5737994, 2672385, 2.14714
5741222, 2672385, 2.14835
5704722, 2672385, 2.13469
5632258, 2672385, 2.10758
5657809, 2672385, 2.11714
5664083, 2672385, 2.11949
5274160, 2672385, 1.97358
5611078, 2672385, 2.09965
5497209, 2672385, 2.05704
5502302, 2672385, 2.05895
5502608, 2672385, 2.05906
5532149, 2672385, 2.07012
5548616, 2672385, 2.07628
5488892, 2672385, 2.05393
5782982, 2672385, 2.16398
5720471, 2672385, 2.14059
5748077, 2672385, 2.15092
5751958, 2672385, 2.15237
5684996, 2672385, 2.12731
5629518, 2672385, 2.10655
5611733, 2672385, 2.0999
5633061, 2672385, 2.10788
5622613, 2672385, 2.10397
5685899, 2672385, 2.12765
5805186, 2672385, 2.17229
5855717, 2672385, 2.1912
5826094, 2672385, 2.18011
5823405, 2672385, 2.1791
5824734, 2672385, 2.1796
5902110, 2672385, 2.20856
5790565, 2672385, 2.16682
5749822, 2672385, 2.15157
5736616, 2672385, 2.14663
5726302, 2672385, 2.14277
5677640, 2672385, 2.12456
5729729, 2672385, 2.14405
5706615, 2672385, 2.1354
5702951, 2672385, 2.13403
5784084, 2672385, 2.16439
5781388, 2672385, 2.16338
5713119, 2672385, 2.13784
5689166, 2672385, 2.12887
5681712, 2672385, 2.12608
5671461, 2672385, 2.12225
5693935, 2672385, 2.13066
5730568, 2672385, 2.14436
5709764, 2672385, 2.13658
5752404, 2672385, 2.15254
5680246, 2672385, 2.12553
5424555, 2672385, 2.02986
5431857, 2672385, 2.03259
5435441, 2672385, 2.03393
5391276, 2672385, 2.0174
5406764, 2672385, 2.0232
5423109, 2672385, 2.02931
5749019, 2672385, 2.15127
5777732, 2672385, 2.16201
5751945, 2672385, 2.15236
5753360, 2672385, 2.15289
5854742, 2672385, 2.19083
5961472, 2672385, 2.23077
5981033, 2672385, 2.23809
6214809, 2672385, 2.32557
6258979, 2672385, 2.34209
6276773, 2672385, 2.34875
6026680, 2672385, 2.25517
