Time,Steps,TimePerStep,Error
102179970, 30000000, 3.406, 5.57316413414
9232669, 2702935, 3.41579394251, 2.91969573547
87779, 25509, 3.44109921988, 3.55795540515
1461, 203, 7.19704433498, 2.88054656337
50241372, 14710105, 3.41543258869, 3.94309062818
1340, 165, 8.12121212121, 2.02372163792
2337933, 682827, 3.42390239402, 3.08115300328
102006801, 30000000, 3.4002267, 4.44444174867
102618148, 30000000, 3.42060493333, 8.43401443489
101929090, 30000000, 3.39763633333, 4.88058360397
3607, 839, 4.29916567342, 3.19766813672
3554, 787, 4.51588310038, 2.51538550561
102334495, 30000000, 3.41114983333, 7.83898094244
1211, 155, 7.81290322581, 2.02372163792
6978, 1839, 3.79445350734, 3.74038205611
37817, 10919, 3.4634124004, 3.90007457231
3549, 869, 4.08400460299, 2.73004340261
996, 117, 8.51282051282, 2.02372163792
102659170, 30000000, 3.42197233333, 8.03191589963
9167, 2439, 3.75850758508, 3.59800704206
102580867, 30000000, 3.41936223333, 4.37720907553
2173, 411, 5.28710462287, 3.04861885877
101907386, 30000000, 3.39691286667, 5.57316413414
1619, 263, 6.15589353612, 3.6846190755
1457, 235, 6.2, 3.04861885877
1696, 257, 6.59922178988, 2.88054656337
4658, 1189, 3.91757779647, 2.88683294119
102011266, 30000000, 3.40037553333, 5.57316413414
3849, 879, 4.37883959044, 3.76825329733
1990, 357, 5.57422969188, 3.04861885877
4182, 951, 4.39747634069, 3.43559743711
4749, 1155, 4.11168831169, 3.05372883771
1218, 169, 7.20710059172, 2.02372163792
1627, 239, 6.80753138075, 2.31898540717
665991, 196355, 3.3917700084, 3.04861885877
1883, 327, 5.75840978593, 3.92396278655
5654, 1395, 4.05304659498, 2.75525306427
7058526, 2076859, 3.39865441034, 3.76149300403
102221985, 30000000, 3.4073995, 5.75524942958
1533, 219, 7, 2.88054656337
102273748, 30000000, 3.40912493333, 5.57316413414
1310, 183, 7.15846994536, 3.29500529264
777168, 229343, 3.38867111706, 3.9385613188
3642, 813, 4.47970479705, 3.52615978126
4109, 947, 4.33896515312, 0.987844040094
1596, 239, 6.67782426778, 3.04861885877
1112, 143, 7.77622377622, 2.02372163792
16970, 4753, 3.57037660425, 3.75280538353
1545, 235, 6.57446808511, 2.31898540717
102028326, 30000000, 3.4009442, 6.66594987872
3689, 857, 4.30455075846, 3.65414845075
171765, 50389, 3.40877969398, 0.940407852518
3658, 815, 4.48834355828, 3.09538521596
71339, 20711, 3.4444980928, 3.04861885877
101939977, 30000000, 3.39799923333, 8.43401443489
4552, 1093, 4.16468435499, 1.02234613889
1332, 187, 7.12299465241, 3.29500529264
1568, 207, 7.57487922705, 3.04861885877
1860650, 548007, 3.39530334467, 3.87753972243
102370476, 30000000, 3.4123492, 8.16490557328
102246543, 30000000, 3.4082181, 7.83898094244
101983279, 30000000, 3.39944263333, 9.86373227456
102298049, 30000000, 3.40993496667, 8.43401443519
15585420, 4564417, 3.41454779438, 2.02372163792
102534103, 30000000, 3.41780343333, 7.83898094244
1682, 263, 6.39543726236, 3.04861885877
6565, 1727, 3.80138969311, 2.40832647603
101671665, 30000000, 3.3890555, 4.59671562011
101877744, 30000000, 3.3959248, 9.86373227456
102519622, 30000000, 3.41732073333, 8.43401443489
1708, 227, 7.52422907489, 3.04861885877
1675, 267, 6.2734082397, 3.6846190755
1298, 163, 7.96319018405, 2.02372163792
5401, 1357, 3.98010316875, 2.60447883835
101996032, 30000000, 3.39986773333, 4.55458358651
102064232, 30000000, 3.40214106667, 7.5849229103
102699753, 30000000, 3.4233251, 8.43401443489
3787, 827, 4.5792019347, 3.56647652106
1760, 279, 6.3082437276, 3.92396278655
9630972, 2818763, 3.41673705806, 3.89423702063
1558, 201, 7.75124378109, 3.04861885877
102129312, 30000000, 3.4043104, 6.51472095656
3105, 679, 4.57290132548, 2.8754575918
101758597, 30000000, 3.39195323333, 6.51472095656
102636587, 30000000, 3.42121956667, 7.83898094244
3747, 877, 4.27251995439, 2.88054656337
1762, 259, 6.80308880309, 2.31898540717
3524, 791, 4.45512010114, 3.53347738285
1750, 295, 5.93220338983, 3.04861885877
42100, 11999, 3.50862571881, 3.04861885877
1749, 267, 6.55056179775, 2.31898540717
1513, 221, 6.84615384615, 3.04861885877
1037, 107, 9.69158878505, 2.02372163792
1612, 231, 6.97835497835, 3.04861885877
3180213, 931623, 3.41362654207, 3.49902976635
102005802, 30000000, 3.4001934, 5.57316413414
102194950, 30000000, 3.40649833333, 5.57316413414
102482322, 30000000, 3.4160774, 7.90376587614
3650, 829, 4.40289505428, 3.04861885877
3786, 907, 4.17420066152, 3.27569698382
