Time,Steps,TimePerStep
4975374, 2672385, 1.86177
4972120, 2672385, 1.86056
4938689, 2672385, 1.84805
4979426, 2672385, 1.86329
4936622, 2672505, 1.84719
4930574, 2672427, 1.84498
4899572, 2672421, 1.83338
4838186, 2672385, 1.81044
4893127, 2672393, 1.83099
4799924, 2672477, 1.79606
4740656, 2672385, 1.77394
4757359, 2672385, 1.78019
4825440, 2672385, 1.80567
4886823, 2672385, 1.82864
4858284, 2672385, 1.81796
4830973, 2672387, 1.80774
4831389, 2672385, 1.80789
4803223, 2672433, 1.79732
4876784, 2672445, 1.82484
4877514, 2672403, 1.82514
4871060, 2672495, 1.82266
4908210, 2672401, 1.83663
4897576, 2672385, 1.83266
4922373, 2672487, 1.84187
4943904, 2672385, 1.85
4939225, 2672385, 1.84825
4958487, 2672387, 1.85545
4930361, 2672385, 1.84493
4897130, 2672385, 1.83249
4904979, 2672385, 1.83543
4937134, 2672385, 1.84746
4993659, 2672387, 1.86861
4956679, 2672385, 1.85478
4954000, 2672385, 1.85377
4944122, 2672497, 1.85
4942320, 2672393, 1.8494
4925527, 2672395, 1.84311
4927320, 2672385, 1.84379
4915909, 2672385, 1.83952
4926054, 2672471, 1.84326
4910918, 2672433, 1.83762
4928725, 2672385, 1.84432
4916925, 2672387, 1.8399
4944021, 2672591, 1.8499
4910668, 2672385, 1.83756
4906082, 2672385, 1.83584
4908341, 2672387, 1.83669
4932304, 2672385, 1.84566
4932298, 2672385, 1.84565
4936540, 2672385, 1.84724
4912501, 2672385, 1.83825
4899631, 2672489, 1.83336
4823737, 2672385, 1.80503
4896542, 2672385, 1.83227
4905499, 2672385, 1.83563
4951173, 2672385, 1.85272
4733155, 2672387, 1.77113
4711797, 2672385, 1.76314
4727767, 2672385, 1.76912
4761572, 2672385, 1.78177
4846762, 2672385, 1.81365
4892963, 2672401, 1.83092
4883708, 2672385, 1.82747
4883229, 2672385, 1.82729
4844641, 2672385, 1.81285
4814879, 2672385, 1.80172
4800644, 2672385, 1.79639
4881815, 2672391, 1.82676
4858618, 2672451, 1.81804
4948635, 2672385, 1.85177
4927534, 2672385, 1.84387
4936764, 2672537, 1.84722
4969937, 2672385, 1.85974
4964399, 2672385, 1.85767
4980025, 2672387, 1.86351
4933078, 2672487, 1.84588
4947252, 2672389, 1.85125
4951584, 2672385, 1.85287
4962984, 2672529, 1.85704
4966422, 2672385, 1.85842
4962936, 2672385, 1.85712
4925415, 2672385, 1.84308
4928148, 2672385, 1.8441
4914602, 2672385, 1.83903
4924704, 2672407, 1.8428
4916906, 2672385, 1.83989
4939100, 2672385, 1.8482
4924216, 2672395, 1.84262
4954019, 2672421, 1.85376
4919666, 2672471, 1.84087
4922330, 2672385, 1.84192
4924892, 2672385, 1.84288
4923915, 2672385, 1.84252
4933061, 2672385, 1.84594
4919464, 2672385, 1.84085
4941234, 2672421, 1.84897
4958862, 2672427, 1.85556
4965463, 2672393, 1.85806
4957461, 2672385, 1.85507
4961856, 2672385, 1.85671
4953379, 2672385, 1.85354
4977843, 2672385, 1.8627
4967553, 2672385, 1.85885
4976971, 2672385, 1.86237
4952834, 2672387, 1.85334
4947300, 2672517, 1.85118
4938484, 2672589, 1.84783
4934891, 2672385, 1.84662
4945117, 2672385, 1.85045
4967277, 2672387, 1.85874
4945915, 2672429, 1.85072
4965671, 2672399, 1.85813
4967608, 2672385, 1.85887
4956047, 2672421, 1.85452
4955371, 2672439, 1.85425
4948379, 2672385, 1.85167
4955166, 2672385, 1.85421
4907248, 2672385, 1.83628
4911148, 2672385, 1.83774
4941404, 2672385, 1.84906
5137622, 2672385, 1.92249
4975975, 2672385, 1.862
4939101, 2672595, 1.84805
4956825, 2672407, 1.85482
4947135, 2672451, 1.85116
4916121, 2672385, 1.8396
4931752, 2672387, 1.84545
4906562, 2672387, 1.83602
4957102, 2672385, 1.85494
4972344, 2672385, 1.86064
4939061, 2672385, 1.84818
4937330, 2672385, 1.84754
4949824, 2672385, 1.85221
4950978, 2672385, 1.85264
4934177, 2672387, 1.84636
4930390, 2672385, 1.84494
4911753, 2672385, 1.83797
4920425, 2672385, 1.84121
4920698, 2672391, 1.84131
4911093, 2672673, 1.83752
4941044, 2672385, 1.84893
4938213, 2672387, 1.84787
4923438, 2672385, 1.84234
4923941, 2672387, 1.84253
