Time,Steps,TimePerStep
2063888, 2672389, 0.772301
2532735, 2672385, 0.947743
3201223, 2672389, 1.19789
3532023, 2672385, 1.32167
3887329, 2672387, 1.45463
4053300, 2672387, 1.51673
3393006, 2672385, 1.26965
4169542, 2672385, 1.56023
3620065, 2672385, 1.35462
4259727, 2672387, 1.59398
3585745, 2672387, 1.34178
3336697, 2672387, 1.24858
2529441, 2672385, 0.946511
3473065, 2672385, 1.29961
3752819, 2672389, 1.40429
3086993, 2672391, 1.15514
3950295, 2672389, 1.47819
4224065, 2672391, 1.58063
4132173, 2672387, 1.54625
3333111, 2672391, 1.24724
3361428, 2672385, 1.25784
3504554, 2672391, 1.31139
3908019, 2672387, 1.46237
3362837, 2672389, 1.25836
3675719, 2672401, 1.37544
4096811, 2672387, 1.53302
3219148, 2672391, 1.20459
1887293, 2672393, 0.706218
4141615, 2672385, 1.54978
4081824, 2672389, 1.52741
3852715, 2672389, 1.44167
3386827, 2672387, 1.26734
4347494, 2672387, 1.62682
3267577, 2672391, 1.22272
3073524, 2672385, 1.15011
4337067, 2672387, 1.62292
3740068, 2672387, 1.39952
3287724, 2672385, 1.23026
3822703, 2672387, 1.43045
3903783, 2672389, 1.46078
3919510, 2672393, 1.46667
3346411, 2672387, 1.25222
3109213, 2672385, 1.16346
3577626, 2672387, 1.33874
2461778, 2672389, 0.92119
3578189, 2672387, 1.33895
3469236, 2672391, 1.29818
4690423, 2672385, 1.75514
4277678, 2672393, 1.60069
3756924, 2672385, 1.40583
4005491, 2672389, 1.49884
3493743, 2672393, 1.30735
3740592, 2672389, 1.39972
3976168, 2672385, 1.48787
3609809, 2672387, 1.35078
2536140, 2672387, 0.949017
3082320, 2672387, 1.1534
3750529, 2672389, 1.40344
3772481, 2672385, 1.41165
3640785, 2672385, 1.36237
3251367, 2672387, 1.21665
4098968, 2672387, 1.53382
3818654, 2672385, 1.42893
3485247, 2672389, 1.30417
4039620, 2672385, 1.51162
4029139, 2672385, 1.50769
3462875, 2672387, 1.2958
3606960, 2672389, 1.34971
2329093, 2672393, 0.871538
3931684, 2672387, 1.47123
4336542, 2672385, 1.62272
3897491, 2672387, 1.45843
4074553, 2672385, 1.52469
4682280, 2672387, 1.7521
3587036, 2672389, 1.34226
3932477, 2672387, 1.47152
3827242, 2672385, 1.43214
4037038, 2672391, 1.51065
3225300, 2672389, 1.2069
3686153, 2672385, 1.37935
3197888, 2672387, 1.19664
3903400, 2672391, 1.46064
3185029, 2672385, 1.19183
3452668, 2672387, 1.29198
3920377, 2672385, 1.467
3340099, 2672385, 1.24986
3810129, 2672387, 1.42574
3874834, 2672385, 1.44995
3420283, 2672385, 1.27986
4033242, 2672391, 1.50923
3861062, 2672385, 1.4448
3741753, 2672385, 1.40015
4294699, 2672389, 1.60706
3654576, 2672387, 1.36753
4135327, 2672385, 1.54743
3287510, 2672385, 1.23018
3529356, 2672385, 1.32068
3748912, 2672385, 1.40283
3698382, 2672395, 1.38392
4216170, 2672385, 1.57768
3955482, 2672385, 1.48013
3783305, 2672387, 1.4157
4139163, 2672385, 1.54886
3627395, 2672389, 1.35736
4207443, 2672393, 1.57441
4083392, 2672391, 1.52799
3920966, 2672385, 1.46722
3098371, 2672385, 1.1594
3415053, 2672385, 1.2779
3815350, 2672395, 1.42769
4419495, 2672387, 1.65376
3307605, 2672385, 1.2377
3351761, 2672387, 1.25422
4254606, 2672385, 1.59206
3848872, 2672385, 1.44024
3586771, 2672385, 1.34216
4407329, 2672385, 1.64921
3567069, 2672389, 1.33479
3826833, 2672387, 1.43199
3199043, 2672385, 1.19707
3890083, 2672387, 1.45566
2296246, 2672387, 0.859249
4474120, 2672387, 1.6742
3562170, 2672387, 1.33295
3513917, 2672391, 1.3149
4371857, 2672387, 1.63594
3468906, 2672389, 1.29805
3109403, 2672385, 1.16353
3018314, 2672387, 1.12944
3115896, 2672387, 1.16596
3013604, 2672385, 1.12768
2821504, 2672385, 1.0558
3904452, 2672389, 1.46103
3047667, 2672387, 1.14043
3857958, 2672391, 1.44364
3908206, 2672385, 1.46244
3626562, 2672393, 1.35705
3961203, 2672385, 1.48227
4035756, 2672389, 1.51017
3590937, 2672393, 1.34372
4461022, 2672387, 1.6693
3684400, 2672385, 1.37869
4268713, 2672389, 1.59734
3382290, 2672385, 1.26564
4505466, 2672387, 1.68593
3907864, 2672393, 1.46231
3300485, 2672385, 1.23503
3615596, 2672385, 1.35295
4543283, 2672389, 1.70008
4406694, 2672393, 1.64897
4006162, 2672397, 1.49909
4082452, 2672389, 1.52764
4791423, 2672385, 1.79294
4115825, 2672391, 1.54013
3898346, 2672385, 1.45875
3179642, 2672387, 1.18981
3985982, 2672389, 1.49154
4550222, 2672389, 1.70268
3648459, 2672387, 1.36524
4336230, 2672387, 1.62261
4095023, 2672391, 1.53234
3599844, 2672385, 1.34705
3376529, 2672385, 1.26349
4117220, 2672385, 1.54065
4120200, 2672393, 1.54176
3456709, 2672389, 1.29349
3923709, 2672385, 1.46824
3623337, 2672387, 1.35584
3588892, 2672385, 1.34295
3863194, 2672393, 1.44559
3749347, 2672385, 1.403
3952881, 2672385, 1.47916
4261014, 2672385, 1.59446
3627986, 2672385, 1.35758
3978568, 2672387, 1.48877
3221516, 2672387, 1.20548
4210453, 2672395, 1.57554
3895062, 2672391, 1.45752
3138326, 2672387, 1.17435
3753842, 2672391, 1.40468
3537526, 2672387, 1.32373
4232197, 2672395, 1.58367
4236458, 2672393, 1.58527
3740045, 2672391, 1.39951
4038061, 2672387, 1.51103
3014428, 2672391, 1.12799
4487935, 2672385, 1.67937
3586348, 2672387, 1.342
3733075, 2672389, 1.39691
3753670, 2672387, 1.40461
4006202, 2672387, 1.49911
4384024, 2672389, 1.64049
3433038, 2672385, 1.28463
